facies,mean,median,std,min,max,count,k
T2,2.488350489904697e-08,2.517210938901407e-08,4.8442419724900594e-09,1.685768041904941e-10,9.887805023279204e-08,916607,1.0000000000000021e-05
T4,1.572405028600202e-08,1.579894666138312e-08,2.9988820543030913e-09,1.72203804575315e-10,4.7782286700212216e-08,1552881,6.0000000000000035e-06
T6,5.405270825835853e-09,5.429177229698233e-09,9.97130596001859e-10,1.7954994225694489e-10,1.321487967437741e-08,837951,1.9999999999999965e-06
T7,2.820785740032186e-09,2.7872924903405564e-09,5.662065191076186e-10,1.5655564546540243e-10,1.3956235415811068e-08,2033420,9.99999999999998e-07
T8,3.9802644597024254e-10,3.3437184585122324e-10,2.012609239361615e-10,6.844318236120999e-11,4.916419020545726e-09,611992,9.99999999999999e-08
T9,4.065563507695083e-10,3.363964616541246e-10,2.1754342076889074e-10,7.16737358793574e-11,3.79229909579561e-09,548227,9.99999999999999e-08
C1,3.9612579211424047e-10,3.0842132118162005e-10,2.7831419696646647e-10,3.27922023645682e-11,5.312720975881087e-09,296337,9.999999999999992e-08
T1,4.146110799583851e-08,4.1253190303771915e-08,9.571954044530069e-09,1.230755200218874e-09,1.508633515430392e-07,784019,1.5000000000000026e-05
G1,6.31623544399587e-07,6.494806348995943e-07,1.873126664362717e-07,1.7912011210710224e-08,1.7154660255454526e-06,120045,0.00030000000000000003
